rank,school,name,publication_count,field,field_source,ssrn_url_or_search_link,ssrn_match_type,ssrn_match_evidence,source_group,source_window,source_journals,byu_profile_url,utd_journal_breakdown,utd_year_breakdown,school_unit,notes
1,Duke University,Xu Jiang,8,Accounting,Defaulted from UTD top-3 accounting journal sample,https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1500075,ssrn_author_page,Ssrn privpapers.ssrn.com › sol3 › cf_dev › AbsByAuth.cfm Author Page for Xu Jiang :: SSRN,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6911&authorname=Jiang, Xu",The Accounting Review: 4; Journal of Accounting and Economics: 2; Journal of Accounting Research: 2,2025: 2; 2024: 1; 2023: 3; 2022: 2,The Fuqua School of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
2,University of Pennsylvania,Frank S Zhou,7,Accounting,Defaulted from UTD top-3 accounting journal sample,https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2566976,ssrn_author_page,Ssrn privpapers.ssrn.com › sol3 › cf_dev › AbsByAuth.cfm Author Page for Frank Zhou :: SSRN,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8493&authorname=Zhou, Frank S.",Journal of Accounting Research: 3; Journal of Accounting and Economics: 2; The Accounting Review: 2,2025: 3; 2024: 2; 2023: 2,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
3,University of Navarra,Gaizka Ormazabal,7,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Gaizka+Ormazabal+%22University+of+Navarra%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=3379&authorname=Ormazabal, Gaizka",Journal of Accounting Research: 3; Journal of Accounting and Economics: 2; The Accounting Review: 2,2025: 1; 2024: 1; 2023: 3; 2021: 2,IESE Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
4,University of North Carolina at Chapel Hill,Stephen Glaeser,7,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Stephen+Glaeser+%22University+of+North+Carolina+at+Chapel+Hill%22+SSRN,search_link,,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7512&authorname=Glaeser, Stephen",Journal of Accounting and Economics: 3; The Accounting Review: 3; Journal of Accounting Research: 1,2025: 1; 2024: 2; 2023: 1; 2022: 2; 2021: 1,Kenan-Flagler Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
5,University of Pennsylvania,Christina Zhu,6,Financial; Archival,BYU interest areas,https://search.brave.com/search?q=Christina+Zhu+%22University+of+Pennsylvania%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=7604&authorname=Zhu, Christina",The Accounting Review: 3; Journal of Accounting and Economics: 2; Journal of Accounting Research: 1,2025: 1; 2024: 1; 2023: 2; 2022: 1; 2021: 1,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
6,Pennsylvania State University at State College (Penn State),Daniel Aobdia,6,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Daniel+Aobdia+%22Pennsylvania+State+University+at+State+College+%28Penn+State%29%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=5583&authorname=Aobdia, Daniel",The Accounting Review: 4; Journal of Accounting and Economics: 2,2025: 2; 2024: 2; 2023: 1; 2021: 1,Smeal College of Business,Publication_count counts distinct UTD article records for this author-school affiliation.
7,Yale University,Edward M Watts,6,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Edward+M+Watts+%22Yale+University%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=8659&authorname=Watts, Edward M.",Journal of Accounting and Economics: 3; Journal of Accounting Research: 3,2025: 1; 2024: 3; 2023: 1; 2021: 1,School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
8,University of Minnesota at Twin Cities,Gaoqing Zhang,6,Financial; Analytical,BYU interest areas,https://search.brave.com/search?q=Gaoqing+Zhang+%22University+of+Minnesota+at+Twin+Cities%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6288&authorname=Zhang, Gaoqing",The Accounting Review: 4; Journal of Accounting and Economics: 1; Journal of Accounting Research: 1,2025: 1; 2024: 2; 2023: 3,Carlson School of Management,Publication_count counts distinct UTD article records for this author-school affiliation.
9,University of London,Marcel Olbert,6,Accounting,Defaulted from UTD top-3 accounting journal sample,https://search.brave.com/search?q=Marcel+Olbert+%22University+of+London%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=9758&authorname=Olbert, Marcel",Journal of Accounting and Economics: 2; Journal of Accounting Research: 2; The Accounting Review: 2,2025: 1; 2024: 1; 2023: 2; 2022: 2,London Business School,Publication_count counts distinct UTD article records for this author-school affiliation.
10,University of Pennsylvania,Matthew J Bloomfield,6,Financial; Managerial; Analytical; Archival,BYU interest areas,https://search.brave.com/search?q=Matthew+J+Bloomfield+%22University+of+Pennsylvania%22+SSRN,search_link,Search link provided; automated SSRN profile resolution was rate limited.,UTD Top 3 accounting journals author-affiliation aggregate,2021-2025,The Accounting Review; Journal of Accounting and Economics; Journal of Accounting Research,"https://www.byuaccounting.net/rankings/indrank/per_ind_cnt.php?authorid=6565&authorname=Bloomfield, Matthew J.",The Accounting Review: 2; Journal of Accounting Research: 2; Journal of Accounting and Economics: 2,2025: 1; 2024: 2; 2023: 1; 2021: 2,The Wharton School,Publication_count counts distinct UTD article records for this author-school affiliation.
